Ticker,Alt_Ticker,Stock Name,year
MA,,Mastercard Inc.,2008
MAA,,Mid-America Apartments,2017
MAC,,Macerich,2013
MAR,,Marriott Int'l.,2003
MAS,,Masco Corp.,2003
MAT,,"Mattel, Inc.",2003
MAY,,May Dept. Stores,2003
MBI,,MBIA Inc.,2003
MCD,,McDonald's Corp.,2003
MCHP,,Microchip Technology,2007
MCK,,McKesson Corp. (New),2003
MCO,,Moody's Corp,2003
MDLZ,,Mondelez International,2013
MDP,,Meredith Corp.,2003
MDR,,McDermott International,2003
MDT,,Medtronic Inc.,2003
MEDI,,MedImmune Inc.,2003
MEE,,Massey Energy Company,2008
MEL,,Mellon Bank Corp.,2003
MER,,Merrill Lynch,2003
MERQ,,Mercury Interactive,2003
MERQE,,,2005
MET,,MetLife Inc.,2003
META,,Meta Platforms,2022
MFE,,McAfee,2010
MGM,,MGM Resorts International,2017
MHFI,,McGraw-Hill,2013
MHK,,Mohawk Industries,2014
MHP,,McGraw-Hill,2003
MHS,,Medco Health Solutions Inc.,2004
MI,,Marshall & Ilsley Corp.,2003
MIL,,Millipore Corp.,2003
MIR,,Mirant Corporation,2003
MJN,,Mead Johnson,2010
MKC,,McCormick & Co.,2003
MKTX,,MarketAxess,2019
MLM,,Martin Marietta Materials,2014
MMC,,Marsh & McLennan,2003
MMI,,Motorola Mobility Holdings Inc.,2011
MMM,,3M Company,2003
MNK,,Mallinckrodt plc,2014
MNST,,Monster Worldwide,2003
MO,,"Altria Group, Inc.",2003
MOH,,Molina Healthcare,2022
MOLX,,Molex Inc.,2003
MOLXE,,,2004
MON,,Monsanto Co.,2003
MOS,,The Mosaic Company,2011
MOT,,Motorola Inc.,2003
MPC,,Marathon Petroleum,2012
MPWR,,Monolithic Power Systems,2021
MRK,,Merck & Co.,2003
MRNA,,Moderna,2021
MRO,,Marathon Oil Corp.,2003
MS,,Morgan Stanley,2006
MSCI,,MSCI Inc,2018
MSFT,,Microsoft Corp.,2003
MSI,,Motorola Solutions Inc.,2011
MTB,,M&T Bank Corp.,2004
MTCH,,Match Group,2021
MTD,,Mettler Toledo,2016
MTG,,MGIC Investment,2003
MTW,,Manitowoc Co.,2008
MU,,Micron Technology,2003
MUR,,Murphy Oil,2005
MWD,,Morgan Stanley,2003
MWV,,MeadWestvaco Corporation,2003
MWW,,Monster Worldwide,2010
MXB,,MSCI,2010
MXIM,,Maxim Integrated Prod,2003
MYG,,Maytag Corp.,2003
